type,index,lat,lon
main,1,25.01287104,121.54094338
main,2,25.01392108,121.54221475
main,3,25.01354919,121.54115260
main,4,25.01334700,121.54137800
waypoint,1,25.01295213,121.54099417
waypoint,2,25.01298316,121.54103014
waypoint,3,25.01301419,121.54106612
waypoint,4,25.01304522,121.54110209
waypoint,5,25.01307626,121.54113806
waypoint,6,25.01310729,121.54117403
waypoint,7,25.01313832,121.54121000
waypoint,8,25.01316935,121.54124598
waypoint,9,25.01320038,121.54128195
waypoint,10,25.01323141,121.54131792
waypoint,11,25.01326244,121.54135389
waypoint,12,25.01329347,121.54138986
waypoint,13,25.01332451,121.54142584
waypoint,14,25.01335538,121.54146197
waypoint,15,25.01338626,121.54149810
waypoint,16,25.01341713,121.54153424
waypoint,17,25.01344800,121.54157038
waypoint,18,25.01347887,121.54160652
waypoint,19,25.01350974,121.54164266
waypoint,20,25.01354061,121.54167880
waypoint,21,25.01357148,121.54171494
waypoint,22,25.01360235,121.54175108
waypoint,23,25.01363322,121.54178721
waypoint,24,25.01366409,121.54182335
waypoint,25,25.01369496,121.54185949
waypoint,26,25.01372583,121.54189563
waypoint,27,25.01375670,121.54193177
waypoint,28,25.01378757,121.54196791
waypoint,29,25.01381844,121.54200405
waypoint,30,25.01384931,121.54204019
waypoint,31,25.01388018,121.54207632
waypoint,32,25.01391105,121.54211246
waypoint,33,25.01394192,121.54214860
waypoint,34,25.01397279,121.54218474
waypoint,35,25.01395654,121.54216572
waypoint,36,25.01392567,121.54212958
waypoint,37,25.01389480,121.54209344
waypoint,38,25.01386393,121.54205731
waypoint,39,25.01383306,121.54202117
waypoint,40,25.01380219,121.54198503
waypoint,41,25.01377132,121.54194889
waypoint,42,25.01374045,121.54191275
waypoint,43,25.01370958,121.54187661
waypoint,44,25.01367871,121.54184047
waypoint,45,25.01364784,121.54180433
waypoint,46,25.01361697,121.54176820
waypoint,47,25.01358610,121.54173206
waypoint,48,25.01355523,121.54169592
waypoint,49,25.01352436,121.54165978
waypoint,50,25.01349349,121.54162364
waypoint,51,25.01346262,121.54158750
waypoint,52,25.01343175,121.54155136
waypoint,53,25.01340088,121.54151522
waypoint,54,25.01337001,121.54147909
waypoint,55,25.01333914,121.54144295
waypoint,56,25.01334524,121.54140802
waypoint,57,25.01337802,121.54137396
waypoint,58,25.01341079,121.54133991
waypoint,59,25.01344357,121.54130585
waypoint,60,25.01347635,121.54127179
waypoint,61,25.01350912,121.54123774
waypoint,62,25.01354190,121.54120368
waypoint,63,25.01355432,121.54119078
waypoint,64,25.01352154,121.54122483
waypoint,65,25.01348877,121.54125889
waypoint,66,25.01345599,121.54129294
waypoint,67,25.01342321,121.54132700
waypoint,68,25.01339044,121.54136106
waypoint,69,25.01335766,121.54139511
